id,major,grade,study_hours,sleep_hours,game_hours,exercise_hours,score,stress
S001,人工智能,大一,22.7,6.6,6.8,3.9,97.0,40.6
S002,人工智能,大一,16.1,7.4,13.0,5.9,85.6,35.1
S003,人工智能,大一,16.2,7.6,2.9,0,80.6,44.1
S004,人工智能,大一,20.2,6.4,0,4.9,91.9,27.6
S005,人工智能,大一,27.2,8.2,11.9,5.4,98,43.4
S006,人工智能,大一,22.3,7.0,9.0,5.9,95.5,54.3
S007,人工智能,大一,17.4,7.7,6.0,1.9,82.7,38.1
S008,人工智能,大一,18.1,6.4,11.3,6.4,84.3,34.7
S009,人工智能,大一,14.1,6.7,9.8,7.1,86.1,25.9
S010,人工智能,大一,24.7,6.8,8.6,5.7,89.1,41.4
S011,人工智能,大一,17.3,7.9,8.9,3.9,90.1,28.9
S012,人工智能,大一,12.9,5.9,4.4,2.9,78.8,42.2
S013,人工智能,大二,27.5,6.3,6.1,0,94.1,62.2
S014,人工智能,大二,11.9,7.0,11.0,0.2,79.0,45.8
S015,人工智能,大二,22.8,6.0,10.5,4.0,87.0,38.5
S016,人工智能,大二,23.9,7.1,13.3,6.2,96.9,43.0
S017,人工智能,大二,19.0,7.9,7.7,4.1,94.3,50.5
S018,人工智能,大二,33.1,8.1,2.1,4.1,98,57.8
S019,人工智能,大二,21.3,7.8,10.8,2.4,95.7,49.6
S020,人工智能,大二,23.9,6.6,6.1,3.6,96.9,42.5
S021,人工智能,大二,27.0,7.0,12.0,4.3,92.0,39.9
S022,人工智能,大二,14.6,6.2,9.5,3.8,86.5,50.1
S023,人工智能,大二,21.5,7.3,13.5,3.5,98,45.4
S024,人工智能,大二,34.1,6.5,6.8,2.6,98,50.7
S025,人工智能,大三,23.2,6.2,9.3,3.2,83.5,36.7
S026,人工智能,大三,20.7,8.1,0.4,6.7,98,30.2
S027,人工智能,大三,17.5,7.6,8.6,6.5,91.4,49.8
S028,人工智能,大三,24.1,7.2,11.8,1.1,89.9,41.3
S029,人工智能,大三,16.1,6.9,9.1,3.4,80.8,42.3
S030,人工智能,大三,14.1,6.5,1.7,2.8,87.0,46.1
S031,人工智能,大三,18.4,7.2,10.6,2.2,86.4,41.8
S032,人工智能,大三,18.8,6.5,10.9,2.0,88.0,48.7
S033,人工智能,大三,27.3,7.1,8.8,3.3,98,36.7
S034,人工智能,大三,22.0,7.6,5.8,6.7,90.7,35.9
S035,人工智能,大三,25.0,6.6,8.5,4.4,91.1,33.0
S036,人工智能,大三,21.2,7.2,8.7,3.4,95.6,45.9
S037,人工智能,大四,27.1,7.8,4.8,1.4,97.0,42.3
S038,人工智能,大四,27.8,7.0,5.8,1.5,93.6,47.3
S039,人工智能,大四,28.4,6.2,10.2,4.7,95.1,56.4
S040,人工智能,大四,23.8,7.7,7.9,0.5,94.3,36.5
S041,人工智能,大四,25.3,7.4,5.1,6.4,98,22.5
S042,人工智能,大四,29.2,7.8,9.8,6.3,98,47.9
S043,人工智能,大四,22.5,7.7,6.9,3.7,91.2,53.7
S044,人工智能,大四,21.8,7.1,7.1,7.4,98,36.9
S045,人工智能,大四,13.3,7.4,2.4,4.8,84.0,28.7
S046,人工智能,大四,30.0,6.2,10.3,1.3,93.2,49.8
S047,人工智能,大四,29.3,6.6,9.9,3.0,91.6,60.1
S048,人工智能,大四,25.6,6.9,11.8,2.8,92.8,46.1
S049,计算机科学,大一,19.3,6.9,13.6,2.7,91.4,36.0
S050,计算机科学,大一,7.0,6.6,7.1,7.5,81.1,33.9
S051,计算机科学,大一,17.4,7.5,7.6,4.3,94.1,59.8
S052,计算机科学,大一,19.3,7.7,10.5,1.6,90.3,42.4
S053,计算机科学,大一,13.2,7.7,11.6,1.9,85.3,37.6
S054,计算机科学,大一,17.3,6.8,9.6,4.0,86.8,46.1
S055,计算机科学,大一,15.3,6.5,9.1,4.1,82.6,21.1
S056,计算机科学,大一,27.2,6.2,10.4,2.6,97.4,42.8
S057,计算机科学,大一,16.4,7.0,4.4,1.8,83.1,46.9
S058,计算机科学,大一,9.6,6.9,8.0,4.9,74.6,39.3
S059,计算机科学,大一,24.8,6.8,6.8,3.3,95.3,52.0
S060,计算机科学,大一,18.4,6.9,7.3,5.6,89.6,40.3
S061,计算机科学,大二,30.0,8.7,5.6,4.3,98,52.0
S062,计算机科学,大二,23.5,7.1,8.9,3.1,98,53.7
S063,计算机科学,大二,18.2,7.6,7.0,7.0,84.6,22.8
S064,计算机科学,大二,16.0,7.2,9.4,6.1,86.2,43.5
S065,计算机科学,大二,32.9,7.3,3.9,5.4,98,64.1
S066,计算机科学,大二,16.8,6.9,3.5,3.7,85.4,41.0
S067,计算机科学,大二,22.1,7.7,6.4,5.1,98,39.3
S068,计算机科学,大二,22.0,7.0,3.1,3.0,89.5,45.4
S069,计算机科学,大二,17.5,7.6,8.3,4.3,84.4,38.2
S070,计算机科学,大二,23.5,7.5,6.9,2.9,85.6,51.8
S071,计算机科学,大二,24.0,7.2,9.6,5.2,98,43.3
S072,计算机科学,大二,15.2,7.0,8.3,3.4,83.9,32.8
S073,计算机科学,大三,20.5,6.2,3.1,4.8,97.6,33.3
S074,计算机科学,大三,29.7,6.9,9.1,0.9,90.2,48.6
S075,计算机科学,大三,12.6,7.2,6.9,1.0,83.8,45.1
S076,计算机科学,大三,9.3,7.0,4.4,4.5,79.5,36.4
S077,计算机科学,大三,21.6,6.7,1.3,6.7,93.2,29.0
S078,计算机科学,大三,19.7,6.4,10.9,4.7,84.3,38.6
S079,计算机科学,大三,17.7,6.9,4.9,3.5,77.0,52.0
S080,计算机科学,大三,20.0,6.2,5.7,1.8,91.0,35.7
S081,计算机科学,大三,27.5,6.6,2.2,3.0,98,43.3
S082,计算机科学,大三,24.9,7.8,10.3,0,95.1,51.2
S083,计算机科学,大三,24.6,5.8,5.8,0.7,97.0,61.1
S084,计算机科学,大三,31.0,6.4,7.1,4.2,98,57.2
S085,计算机科学,大四,22.1,7.4,10.6,7.4,89.7,20
S086,计算机科学,大四,26.0,8.2,5.3,4.2,98,42.2
S087,计算机科学,大四,17.6,6.6,0.5,1.5,87.9,53.4
S088,计算机科学,大四,29.1,6.7,6.5,3.4,93.7,39.9
S089,计算机科学,大四,28.8,6.9,6.5,7.3,98,56.4
S090,计算机科学,大四,25.4,7.3,7.1,6.5,91.7,27.0
S091,计算机科学,大四,27.2,6.7,10.2,3.1,92.4,51.5
S092,计算机科学,大四,17.5,6.5,9.3,2.9,77.4,43.6
S093,计算机科学,大四,28.1,8.0,1.9,2.3,98,45.6
S094,计算机科学,大四,29.0,5.9,8.4,3.1,98,60.9
S095,计算机科学,大四,24.1,7.7,0,5.6,98,35.7
S096,计算机科学,大四,14.4,7.3,9.1,5.0,79.9,44.0
S097,数据科学,大一,20.5,6.9,8.1,4.0,81.0,37.4
S098,数据科学,大一,21.6,6.9,7.5,0.7,85.7,37.4
S099,数据科学,大一,16.5,7.8,0.4,1.1,89.7,32.1
S100,数据科学,大一,15.4,6.8,10.9,3.0,91.0,51.7
S101,数据科学,大一,21.1,6.6,10.8,6.6,98,33.8
S102,数据科学,大一,17.2,7.0,1.0,4.1,97.3,40.0
S103,数据科学,大一,17.0,6.0,0.6,2.1,88.5,51.7
S104,数据科学,大一,26.1,7.5,4.2,4.1,94.0,41.5
S105,数据科学,大一,17.3,6.9,6.3,0.5,85.6,43.6
S106,数据科学,大一,27.5,7.0,2.0,7.0,98,45.2
S107,数据科学,大一,18.5,7.9,4.4,2.2,85.0,35.9
S108,数据科学,大一,16.1,8.3,7.0,4.4,82.2,26.3
S109,数据科学,大二,14.6,6.3,5.0,4.5,84.3,45.9
S110,数据科学,大二,26.3,7.2,7.9,6.1,90.8,56.9
S111,数据科学,大二,22.8,7.5,17.9,2.8,83.5,36.1
S112,数据科学,大二,22.2,7.1,12.7,2.5,91.6,40.0
S113,数据科学,大二,10.8,7.7,9.4,3.4,78.8,47.0
S114,数据科学,大二,29.9,6.9,6.3,4.3,98,59.4
S115,数据科学,大二,16.7,7.0,10.7,4.9,80.8,37.5
